Feature,Importance
original_shape_LeastAxisLength,0.039506895
original_ngtdm_Coarseness,0.037523211
original_glrlm_GrayLevelNonUniformity,0.035383003
original_shape_Maximum2DDiameterRow,0.033378945
original_gldm_DependenceNonUniformity,0.030343839
original_shape_SurfaceArea,0.029041661
original_shape_VoxelVolume,0.028634497
original_shape_Maximum2DDiameterColumn,0.024013789
original_shape_Maximum2DDiameterSlice,0.023840257
original_shape_MeshVolume,0.023113293
original_gldm_GrayLevelNonUniformity,0.022617041
original_glcm_Correlation,0.022393682
original_glrlm_RunLengthNonUniformity,0.019939024
original_glcm_MCC,0.019875609
original_glszm_LargeAreaHighGrayLevelEmphasis,0.01877077
original_glcm_Imc2,0.018474033
original_shape_SurfaceVolumeRatio,0.018389184
original_firstorder_Kurtosis,0.017277053
original_glcm_Idn,0.014772513
original_ngtdm_Busyness,0.014746799
original_shape_MinorAxisLength,0.014498132
original_ngtdm_Strength,0.014169232
original_shape_MajorAxisLength,0.013960825
original_glszm_GrayLevelNonUniformity,0.013686951
original_glcm_Idmn,0.013095551
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.013003334
original_glszm_LowGrayLevelZoneEmphasis,0.012764569
original_glszm_ZonePercentage,0.012325793
original_glcm_Imc1,0.011566181
original_glcm_ClusterTendency,0.009777383
original_shape_Flatness,0.009382694
original_glszm_ZoneEntropy,0.009185731
original_glrlm_LongRunHighGrayLevelEmphasis,0.008951378
original_firstorder_Skewness,0.008366669
original_glcm_InverseVariance,0.008294372
original_ngtdm_Contrast,0.0078973
original_shape_Maximum3DDiameter,0.007571938
original_gldm_DependenceEntropy,0.007516176
original_glrlm_RunPercentage,0.007418007
original_firstorder_TotalEnergy,0.007391389
original_glrlm_LowGrayLevelRunEmphasis,0.007304311
original_glszm_SizeZoneNonUniformity,0.007219442
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.007048709
original_glszm_SizeZoneNonUniformityNormalized,0.007001608
original_glszm_SmallAreaLowGrayLevelEmphasis,0.00693339
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.006914289
original_glszm_SmallAreaEmphasis,0.006882414
original_gldm_SmallDependenceEmphasis,0.006761814
original_glszm_ZoneVariance,0.006513692
original_glcm_JointEntropy,0.006435271
original_gldm_GrayLevelVariance,0.006409301
original_glszm_LargeAreaEmphasis,0.006403547
original_glrlm_GrayLevelVariance,0.00635945
original_firstorder_90Percentile,0.005925254
original_glcm_ClusterShade,0.005922204
original_glszm_GrayLevelVariance,0.005919122
original_gldm_DependenceNonUniformityNormalized,0.005821276
original_shape_Elongation,0.00579884
original_firstorder_Minimum,0.005767835
original_glrlm_ShortRunEmphasis,0.005634996
original_glcm_ClusterProminence,0.005604679
original_glszm_SmallAreaHighGrayLevelEmphasis,0.005436712
original_firstorder_Mean,0.005316066
original_glcm_Id,0.005310892
original_shape_Sphericity,0.005079521
original_glrlm_GrayLevelNonUniformityNormalized,0.005049495
original_glszm_GrayLevelNonUniformityNormalized,0.004961979
original_glrlm_RunLengthNonUniformityNormalized,0.004944138
original_glszm_HighGrayLevelZoneEmphasis,0.004913187
original_glcm_DifferenceAverage,0.004882863
original_glcm_SumAverage,0.004769708
original_firstorder_10Percentile,0.0047506
original_glrlm_LongRunEmphasis,0.00473102
original_glszm_LargeAreaLowGrayLevelEmphasis,0.004709647
original_glcm_Idm,0.004644212
original_firstorder_Maximum,0.004596436
original_glcm_JointAverage,0.004579287
original_glcm_DifferenceVariance,0.004470291
original_firstorder_Energy,0.004370401
original_glcm_Contrast,0.00421513
original_gldm_LargeDependenceEmphasis,0.004215045
original_firstorder_Variance,0.003892093
original_glrlm_RunEntropy,0.003858028
original_firstorder_RobustMeanAbsoluteDeviation,0.003743054
original_glrlm_HighGrayLevelRunEmphasis,0.003649752
original_firstorder_Entropy,0.003602511
original_firstorder_Median,0.00353779
original_gldm_DependenceVariance,0.003443834
original_glcm_MaximumProbability,0.003175993
original_gldm_HighGrayLevelEmphasis,0.003157002
original_firstorder_InterquartileRange,0.003027038
original_glrlm_RunVariance,0.002986428
original_firstorder_Uniformity,0.002607713
original_glrlm_ShortRunHighGrayLevelEmphasis,0.002562435
original_glrlm_ShortRunLowGrayLevelEmphasis,0.00253452
original_firstorder_Range,0.002487544
original_glcm_Autocorrelation,0.002406379
original_glcm_DifferenceEntropy,0.002151345
original_glrlm_LongRunLowGrayLevelEmphasis,0.002031674
original_firstorder_RootMeanSquared,0.002009756
original_glcm_SumSquares,0.001948442
original_firstorder_MeanAbsoluteDeviation,0.001610341
original_gldm_LowGrayLevelEmphasis,0.001443972
original_glcm_JointEnergy,0.001370231
original_ngtdm_Complexity,0.001203663
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.001196456
original_glcm_SumEntropy,0.000975227
